Name|Asset Class|Weight|Price|Market Value|Notional Value|Sector_|SEDOL|ISIN|Coupon|Maturity_|YTM_|Yield to Worst|Duration|Par Value
FHLMC_K010 A2|Fixed Income|0.02|101.08|1,245,396.44|1,245,396.44|CMBS|--|US3137A6B277|4.33|Oct 25, 2020|1.50|1.50|0.47|1,227,899.00
SNDPT_17-1A AR 144A|Fixed Income|0.02|99.96|1,100,230.15|1,100,230.15|ABS|--|US83609RAJ05|2.96|Jan 23, 2029|2.98|2.98|0.23|1,100,000.00
SMB_18-A A1 144A|Fixed Income|0.02|100.04|1,039,257.12|1,039,257.12|ABS|--|US78449PAA75|2.03|Mar 16, 2026|1.84|1.84|0.04|1,037,984.00
OZLMF_12-1A A1R2 144A|Fixed Income|0.02|99.73|997,987.41|997,987.41|ABS|--|US67107UAU88|3.03|Jul 22, 2029|3.14|3.14|0.23|1,000,000.00
FHMS-K037 A1|Fixed Income|0.01|101.03|914,211.61|914,211.61|CMBS|--|US3137B7YX14|2.59|Apr 25, 2023|1.81|1.81|1.51|903,040.00
FHLMC_K032 A1|Fixed Income|0.01|101.55|713,601.66|713,601.66|CMBS|--|US3137B4GX84|3.02|Feb 25, 2023|1.90|1.90|1.54|701,045.00
CVS HEALTH CORP|Fixed Income|0.01|100.07|533,301.08|533,301.08|Industrial|BF4JKL8|US126650DB34|2.52|Mar 09, 2020|1.86|1.86|0.11|531,000.00
SMB_18-B A1 144A|Fixed Income|0.01|100.01|526,104.87|526,104.87|ABS|--|US78449LAA61|2.00|Dec 16, 2024|1.92|1.92|0.04|525,623.00
ODART_17-2A A 144A|Fixed Income|0.01|100.00|452,354.55|452,354.55|ABS|--|US68267CAA62|2.31|Dec 14, 2021|2.40|2.40|0.04|451,907.00
LMREC_16-CRE2 A 144A|Fixed Income|0.01|99.95|431,345.87|431,345.87|CMBS|--|US50209MAA36|3.48|Nov 24, 2031|3.47|3.47|0.07|431,208.00
FORDO_16-C A3|Fixed Income|0.01|99.97|326,805.88|326,805.88|ABS|--|US34531CAD20|1.22|Mar 15, 2021|1.93|1.93|0.04|326,736.00
SOFI_15-A A1 144A|Fixed Income|0.00|100.07|261,457.24|261,457.24|ABS|--|US83401LAA26|2.86|Mar 25, 2033|2.87|2.87|0.07|261,207.00
MXN CASH|Cash|0.00|5.32|249,900.28|249,900.28|Cash and/or Derivatives|--|--|0.00|--|7.50|7.50|0.00|4,699,000.00
SLMA_11-2 A1|Fixed Income|0.00|100.16|235,676.02|235,676.02|ABS|B9GSLW9|US78446JAA43|2.26|Nov 25, 2027|2.03|2.03|0.07|235,260.00
EFF_17-1 A2 144A|Fixed Income|0.00|100.03|210,759.61|210,759.61|ABS|--|US29372EBV92|2.13|Jul 20, 2022|1.98|1.98|0.16|210,581.00
ALLYA_18-3 A2|Fixed Income|0.00|100.03|180,180.03|180,180.03|ABS|--|US02007JAB35|2.72|May 17, 2021|1.93|1.93|0.04|179,917.00
NAROT_16-C A3|Fixed Income|0.00|99.98|171,552.27|171,552.27|ABS|--|US65478WAD74|1.18|Jan 15, 2021|1.78|1.78|0.04|171,511.00
NAVSL_14-CT A 144A|Fixed Income|0.00|100.03|170,776.07|170,776.07|ABS|--|US63938HAA59|2.38|Sep 16, 2024|1.96|1.96|0.04|170,549.00
WHLS_17-1 A-2 144A|Fixed Income|0.00|100.00|153,712.21|153,712.21|ABS|--|US96328DAZ78|1.88|Apr 20, 2026|1.88|1.88|0.17|153,630.00
CAD CASH|Cash|0.00|75.62|136,121.30|136,121.30|Cash and/or Derivatives|--|--|0.00|--|1.99|1.99|0.00|180,000.00
SLMA_11-C A2A 144A|Fixed Income|0.00|100.11|48,772.45|48,772.45|ABS|--|US78446TAB08|4.93|Oct 17, 2044|3.42|3.42|0.05|48,617.00
EUR CASH|Cash|0.00|110.35|25,307.88|25,307.88|Cash and/or Derivatives|--|--|0.00|--|-0.46|-0.46|0.00|22,934.00
JPY CASH|Cash|0.00|0.92|5.12|5.12|Cash and/or Derivatives|--|--|0.00|--|-0.08|-0.08|0.00|556.00
MXN/USD|Forwards|0.00|1.00|-1,779.27|-1,779.27|Cash and/or Derivatives|--|--|0.00|Feb 13, 2020|--|--|0.00|-7,092,285.00
MXN/USD|Forwards|0.00|1.00|-5,351.37|-5,351.37|Cash and/or Derivatives|--|--|0.00|Feb 27, 2020|--|--|0.00|-2,984,491.00
MXN/USD|Forwards|0.00|1.00|-11,758.50|-11,758.50|Cash and/or Derivatives|--|--|0.00|Feb 27, 2020|--|--|0.00|-6,124,785.00
MXN/USD|Forwards|0.00|1.00|-12,185.45|-12,185.45|Cash and/or Derivatives|--|--|0.00|Apr 02, 2020|--|--|0.00|-6,851,589.00
MXN/USD|Forwards|0.00|1.00|-26,492.61|-26,492.61|Cash and/or Derivatives|--|--|0.00|Feb 27, 2020|--|--|0.00|-13,991,158.00
MXN/USD|Forwards|0.00|1.00|-282,355.60|-282,355.60|Cash and/or Derivatives|--|--|0.00|Feb 13, 2020|--|--|0.00|-1,222,807,715.00
MXN/USD|Forwards|-0.01|1.00|-332,791.77|-332,791.77|Cash and/or Derivatives|--|--|0.00|Feb 27, 2020|--|--|0.00|-186,815,509.00
MXN/USD|Forwards|-0.01|1.00|-524,271.66|-524,271.66|Cash and/or Derivatives|--|--|0.00|Apr 02, 2020|--|--|0.00|-296,798,411.00
MXN/USD|Forwards|-0.01|1.00|-715,271.02|-715,271.02|Cash and/or Derivatives|--|--|0.00|Feb 27, 2020|--|--|0.00|-372,957,115.00
MXN/USD|Forwards|-0.02|1.00|-1,610,772.94|-1,610,772.94|Cash and/or Derivatives|--|--|0.00|Feb 27, 2020|--|--|0.00|-854,276,942.00
USD CASH|Cash|-0.61|100.00|-39,626,613.78|-39,626,613.78|Cash and/or Derivatives|--|--|0.00|--|1.66|1.66|0.00|-39,626,614.00
